c.name,r.score,b.type,n.lat,n.lon,n.name
Rishav,0.016008804,family,13.061330690880306,80.26137915509521,KFC
Rishav,0.016008804,family,13.08576637764831,80.24787680796085,KFC
Rishav,0.016008804,family,13.05685,80.256981,KFC
Rishav,0.016008804,family,13.046952003255814,80.27284357240937,Kfc
Rishav,0.016008804,family,13.04435630902911,80.27584279105027,KFC
Rishav,0.016008804,family,13.04414233393209,80.27361107767902,KFC
Rishav,0.016008804,family,13.06199797486371,80.24546467049578,KFC
Rishav,0.016008804,family,13.02997975435598,80.27688503265381,KFC
Rishav,0.016008804,family,13.07231753850145,80.22767372118804,KFC
Rishav,0.016008804,family,13.02646792182073,80.26821117656334,KFC Santhome
Rishav,0.016008804,family,13.040156917858468,80.2416693628436,KFC
Rishav,0.016008804,family,13.07403400633565,80.22133952749746,KFC
Rishav,0.016008804,family,13.116888222462073,80.22796154022217,KFC Perambur
Rishav,0.01796833,relax,13.08052332488975,80.28237819671631,Mahindra First Choice Services - Car Service Center Chennai
Rishav,0.01796833,relax,13.081108549646723,80.2812623977661,Mahindra First Choice Services - Car Service Center Chennai
Rishav,0.01796833,relax,13.080565126704172,80.28053283691406,Mahindra First Choice Services - Car Service Center Chennai
Rishav,0.01796833,relax,13.0893508,80.2768308,Surana Group Of Schools
Rishav,0.01796833,relax,13.0893508,80.2768308,Surana Group Of Schools
Rishav,0.01796833,relax,13.091299892676037,80.28575959553093,Vikas Chat Center
Rishav,0.01796833,relax,13.068005561828613,80.2709732055664,Sony Center
Rishav,0.01796833,relax,13.0998099,80.2923299,Matta Center
Rishav,0.01796833,relax,13.099255,80.293858,Bajaj service center
Rishav,0.01796833,relax,13.059012739302355,80.27426987886429,iSmart Learning Center
Rishav,0.01796833,relax,13.079258802792912,80.25764444676318,Premier Health Center
Rishav,0.01796833,relax,13.10348534021053,80.28905768223055,Balaji Medical Center
Rishav,0.01796833,relax,13.089844,80.259077,Maruthi Fitness Center
Rishav,0.01796833,relax,13.066902166271074,80.26019778555984,Ceebros Center
Rishav,0.01796833,relax,13.067233085632324,80.2591552734375,Jet Airways Service Center
Rishav,0.01796833,relax,13.064034461975098,80.26044464111328,Rotary news center
Rishav,0.01796833,relax,13.059149,80.265379,Aasife Biriyani Center
Rishav,0.01796833,relax,13.084846607101454,80.25474258457722,Sydney Shopping Center
Rishav,0.01796833,relax,13.0587724177288,80.2642521635445,the center at ea
Rishav,0.01796833,relax,13.0586392,80.2637247,Sony Center
Rishav,0.01796833,relax,13.067742087933118,80.25578141212463,Raghavendra Tiffin Center
Rishav,0.01796833,relax,13.072403907775879,80.2535400390625,government school sujir
Rishav,0.01796833,relax,13.072403907775879,80.2535400390625,government school sujir
Rishav,0.01796833,relax,13.080431337332637,80.2508333524537,Thalapakkatu Biryani Center
Rishav,0.01796833,relax,13.085033577120107,80.2508660208781,City Center
Rishav,0.01796833,relax,13.0616643570908,80.25442680371381,Sony service center
Rishav,0.01796833,relax,13.054086685180664,80.26127624511719,college side juice shop
Rishav,0.01796833,relax,13.054086685180664,80.26127624511719,college side juice shop
Rishav,0.01796833,relax,13.048082,80.273487,Edu Life Abroad - City Center
Rishav,0.01796833,relax,13.078579532694048,80.2477616071701,Dialysis Center Chennai
Rishav,0.01796833,relax,13.081350522845725,80.24602006713869,Samsung service center
Rishav,0.01796833,relax,13.0442955,80.273931,Sitel CityCenter
Rishav,0.01796833,relax,13.043122700101494,80.27413907371762,Arabian Hut City Center
Rishav,0.01796833,relax,13.04211711883545,80.27947998046875,Samu Tiffin Center
Rishav,0.01796833,relax,13.061823844909668,80.2454605102539,St. George's Orthodontic & Dental Health Center
Rishav,0.01796833,relax,13.070742319465024,80.24177826930134,Study Overseas
Rishav,0.01796833,relax,13.076450290174225,80.23856002455675,Pachaiyappa College Signal
Rishav,0.01796833,relax,13.076450290174225,80.23856002455675,Pachaiyappa College Signal
Rishav,0.01796833,relax,13.070906223480268,80.23708427425674,Madras Christian College School
Rishav,0.01796833,relax,13.070906223480268,80.23708427425674,Madras Christian College School
Rishav,0.018856607,enjoy,13.086523271542912,80.27464529363095,Madras Coffee House
Rishav,0.018856607,enjoy,13.087603673006129,80.2749936582642,Coffee Day @ Chennai central Platform
Rishav,0.018856607,enjoy,13.083198626725807,80.29518842697144,Red Wine Restaurant
Rishav,0.018856607,enjoy,13.064984481591383,80.26630588733468,Café Coffee Day
